,Correlation,Noise,Name,Length
581,0.8572996906540946,0.05,Curve 58,Length 100
582,0.7206789461170103,0.1,Curve 58,Length 100
583,0.7259164665953725,0.15,Curve 58,Length 100
584,0.6971733869637745,0.2,Curve 58,Length 100
590,0.4711917299013758,smooth,Curve 59,Length 100
591,0.7457585405526189,0.05,Curve 59,Length 100
592,0.6950445650389095,0.1,Curve 59,Length 100
593,0.7952815542178537,0.15,Curve 59,Length 100
594,0.4557242713275652,0.2,Curve 59,Length 100
600,0.2256426920309183,smooth,Curve 60,Length 100
601,0.7590712755395592,0.05,Curve 60,Length 100
602,0.6047018089099739,0.1,Curve 60,Length 100
603,0.5444414811590468,0.15,Curve 60,Length 100
604,0.3778314922888013,0.2,Curve 60,Length 100
610,0.3972261467431287,smooth,Curve 61,Length 100
611,0.908717450229738,0.05,Curve 61,Length 100
612,0.7113021312454957,0.1,Curve 61,Length 100
613,0.4605578816750255,0.15,Curve 61,Length 100
614,0.4786608532416513,0.2,Curve 61,Length 100
620,0.5662438959307369,smooth,Curve 62,Length 100
621,0.8496565805688527,0.05,Curve 62,Length 100
622,0.7948421332437515,0.1,Curve 62,Length 100
623,0.6989810717338505,0.15,Curve 62,Length 100
624,0.7195481400118117,0.2,Curve 62,Length 100
630,0.4108249385665166,smooth,Curve 63,Length 100
631,0.6961875850796546,0.05,Curve 63,Length 100
632,0.5506029325092886,0.1,Curve 63,Length 100
633,0.6475620824158863,0.15,Curve 63,Length 100
634,0.5486308916452147,0.2,Curve 63,Length 100
640,0.4744690048384385,smooth,Curve 64,Length 100
641,0.7389770273115005,0.05,Curve 64,Length 100
642,0.3572220635234366,0.1,Curve 64,Length 100
643,0.5363588681767747,0.15,Curve 64,Length 100
644,0.1539100077028972,0.2,Curve 64,Length 100
650,0.5172604964432924,smooth,Curve 65,Length 100
651,0.8374909455932084,0.05,Curve 65,Length 100
652,0.6441038726325029,0.1,Curve 65,Length 100
653,0.6423289530765899,0.15,Curve 65,Length 100
654,0.6389455585952534,0.2,Curve 65,Length 100
660,0.521238545081083,smooth,Curve 66,Length 100
661,0.7994203121962224,0.05,Curve 66,Length 100
662,0.592574260254205,0.1,Curve 66,Length 100
663,0.4693796723129222,0.15,Curve 66,Length 100
664,0.4985037226820349,0.2,Curve 66,Length 100
670,0.5505332249766318,smooth,Curve 67,Length 100
671,0.8258849150986414,0.05,Curve 67,Length 100
672,0.7394020662505573,0.1,Curve 67,Length 100
673,0.6287580141729735,0.15,Curve 67,Length 100
674,0.7020214109858429,0.2,Curve 67,Length 100
680,0.4702860043278858,smooth,Curve 68,Length 100
681,0.7861082168721489,0.05,Curve 68,Length 100
682,0.7011186626213568,0.1,Curve 68,Length 100
683,0.5322144547791575,0.15,Curve 68,Length 100
684,0.648800764009331,0.2,Curve 68,Length 100
690,0.4756664043055239,smooth,Curve 69,Length 100
691,0.8401266715085615,0.05,Curve 69,Length 100
692,0.6902971471539264,0.1,Curve 69,Length 100
693,0.5822296804940057,0.15,Curve 69,Length 100
694,0.5233638260237538,0.2,Curve 69,Length 100
700,0.6832896922721291,smooth,Curve 70,Length 100
701,0.8585979087303732,0.05,Curve 70,Length 100
702,0.7968579994956306,0.1,Curve 70,Length 100
703,0.7284117571508179,0.15,Curve 70,Length 100
704,0.6099100059785649,0.2,Curve 70,Length 100
710,0.5104306596580652,smooth,Curve 71,Length 100
711,0.796680064176022,0.05,Curve 71,Length 100
712,0.7083357904129134,0.1,Curve 71,Length 100
713,0.6853442591346471,0.15,Curve 71,Length 100
714,0.5554352677438786,0.2,Curve 71,Length 100
720,0.2795376393526221,smooth,Curve 72,Length 100
721,0.7098997342716835,0.05,Curve 72,Length 100
722,0.6886330687367181,0.1,Curve 72,Length 100
723,0.413505114775793,0.15,Curve 72,Length 100
724,0.4979038443810633,0.2,Curve 72,Length 100
730,0.6664808050481721,smooth,Curve 73,Length 100
731,0.8562071463263059,0.05,Curve 73,Length 100
732,0.7777844976763789,0.1,Curve 73,Length 100
733,0.6333641790610408,0.15,Curve 73,Length 100
734,0.7050959485848888,0.2,Curve 73,Length 100
740,0.589379367476292,smooth,Curve 74,Length 100
741,0.7377294999836904,0.05,Curve 74,Length 100
742,0.6826625329516073,0.1,Curve 74,Length 100
743,0.5772927656140534,0.15,Curve 74,Length 100
744,0.7167882271826959,0.2,Curve 74,Length 100
750,0.6095182200238787,smooth,Curve 75,Length 100
751,0.852180084077645,0.05,Curve 75,Length 100
752,0.6713840920442137,0.1,Curve 75,Length 100
753,0.5777833560937798,0.15,Curve 75,Length 100
754,0.4833166622014584,0.2,Curve 75,Length 100
760,0.5137108123084673,smooth,Curve 76,Length 100
761,0.7676565888162704,0.05,Curve 76,Length 100
762,0.7789189687124689,0.1,Curve 76,Length 100
763,0.4543268022412478,0.15,Curve 76,Length 100
764,0.477789441756699,0.2,Curve 76,Length 100
770,0.6067896651667057,smooth,Curve 77,Length 100
771,0.7927949805512294,0.05,Curve 77,Length 100
772,0.6970659859379067,0.1,Curve 77,Length 100
773,0.5470178496563104,0.15,Curve 77,Length 100
774,0.569890937847811,0.2,Curve 77,Length 100
