,Name,AMI score,Length,Noise
117,Curve 117,0.40707414940273107,Length 200,Smooth
118,Curve 118,0.5986646850777891,Length 200,Smooth
119,Curve 119,0.4503859734618126,Length 200,Smooth
120,Curve 120,0.5093278458868815,Length 200,Smooth
121,Curve 121,0.499005667034017,Length 200,Smooth
122,Curve 122,0.5527134597368587,Length 200,Smooth
123,Curve 123,0.5933893075283007,Length 200,Smooth
124,Curve 124,0.5007212015807461,Length 200,Smooth
125,Curve 125,0.5837860883403617,Length 200,Smooth
126,Curve 126,0.5469283890417822,Length 200,Smooth
127,Curve 127,0.48646717515232196,Length 200,Smooth
128,Curve 128,0.49556416513741575,Length 200,Smooth
129,Curve 129,0.5237156529435614,Length 200,Smooth
130,Curve 130,0.6118414104734223,Length 200,Smooth
131,Curve 131,0.5464319959474538,Length 200,Smooth
132,Curve 132,0.6021270665484442,Length 200,Smooth
133,Curve 133,0.6317546514788833,Length 200,Smooth
134,Curve 134,0.5644127279948312,Length 200,Smooth
135,Curve 135,0.5172806798518265,Length 200,Smooth
136,Curve 136,0.6467519793441814,Length 200,Smooth
137,Curve 137,0.5834099521329948,Length 200,Smooth
138,Curve 138,0.4813751303202344,Length 200,Smooth
139,Curve 139,0.4520583397030365,Length 200,Smooth
140,Curve 140,0.3456376103737343,Length 200,Smooth
141,Curve 141,0.5294454242240829,Length 200,Smooth
142,Curve 142,0.5931771754340975,Length 200,Smooth
143,Curve 143,0.7408022298423076,Length 200,Smooth
144,Curve 144,0.5602283780266423,Length 200,Smooth
145,Curve 145,0.45894151921986276,Length 200,Smooth
146,Curve 146,0.4425820632489736,Length 200,Smooth
147,Curve 147,0.6254111678101105,Length 200,Smooth
148,Curve 148,0.41794948000494864,Length 200,Smooth
149,Curve 149,0.6027141121961108,Length 200,Smooth
150,Curve 150,0.3678742798398539,Length 200,Smooth
151,Curve 151,0.5099410330650697,Length 200,Smooth
152,Curve 152,0.3824201635212154,Length 200,Smooth
153,Curve 153,0.38514539264733744,Length 200,Smooth
154,Curve 154,0.6406348608297189,Length 200,Smooth
155,Curve 155,0.5518503891848663,Length 200,Smooth
156,Curve 156,0.5659826948783396,Length 200,Smooth
157,Curve 157,0.6868446617435214,Length 200,Smooth
158,Curve 158,0.605195947494005,Length 200,Smooth
159,Curve 159,0.42671980228413503,Length 200,Smooth
160,Curve 160,0.7150370116981242,Length 200,Smooth
