,Correlation,Name,Length
840,0.7577082703153523,Curve 20,Length 300
842,0.7306053077576867,Curve 21,Length 300
844,0.661974632544555,Curve 22,Length 300
846,0.6967367545741066,Curve 23,Length 300
848,0.6925801421602197,Curve 24,Length 300
850,0.4939343782645155,Curve 25,Length 300
852,0.556695786678561,Curve 26,Length 300
854,0.7259402847979838,Curve 27,Length 300
856,0.1829876959886076,Curve 28,Length 300
858,0.709524626671701,Curve 29,Length 300
860,0.6234783787114357,Curve 30,Length 300
862,0.630728877706602,Curve 31,Length 300
864,0.7209517377108599,Curve 32,Length 300
866,0.6176113487981042,Curve 33,Length 300
868,0.5647519991868835,Curve 34,Length 300
870,0.8156509183939059,Curve 35,Length 300
872,0.5742149215868686,Curve 36,Length 300
874,0.6518886391109614,Curve 37,Length 300
876,0.6864690189665581,Curve 38,Length 300
878,0.6726009605323018,Curve 39,Length 300
880,0.5186781731782817,Curve 40,Length 300
882,0.7483953146679323,Curve 41,Length 300
884,0.591040524181545,Curve 42,Length 300
886,0.6788140756873211,Curve 43,Length 300
888,0.5168442839258357,Curve 44,Length 300
890,0.5307556981833335,Curve 45,Length 300
892,0.6073974920300204,Curve 46,Length 300
894,0.4407934750998216,Curve 47,Length 300
896,0.6635045176692947,Curve 48,Length 300
898,0.718145108077071,Curve 49,Length 300
900,0.6967941145684637,Curve 50,Length 300
902,0.3927407884774893,Curve 51,Length 300
904,0.6687713867120763,Curve 52,Length 300
906,0.8200408917221931,Curve 53,Length 300
908,0.54388301739915,Curve 54,Length 300
910,0.5886371272767801,Curve 55,Length 300
912,0.4584732562963755,Curve 56,Length 300
914,0.6335000900320874,Curve 57,Length 300
916,0.49855758590222,Curve 58,Length 300
918,0.6567025087810685,Curve 59,Length 300
920,0.6666994851789143,Curve 60,Length 300
922,0.5104852804849134,Curve 61,Length 300
924,0.6780624693015764,Curve 62,Length 300
926,0.5735667153891431,Curve 63,Length 300
928,0.5497895779183716,Curve 64,Length 300
930,0.5942640857966056,Curve 65,Length 300
932,0.5917123127698699,Curve 66,Length 300
934,0.5992812370911386,Curve 67,Length 300
936,0.6743200211013984,Curve 68,Length 300
938,0.4901087053578434,Curve 69,Length 300
940,0.5965523718483108,Curve 70,Length 300
942,0.7056127015246139,Curve 71,Length 300
944,0.8186755111661639,Curve 72,Length 300
946,0.6807475340431145,Curve 73,Length 300
948,0.5911301916020777,Curve 74,Length 300
950,0.5637759053930539,Curve 75,Length 300
952,0.7897880014743837,Curve 76,Length 300
954,0.2931243605423616,Curve 77,Length 300
956,0.6362507590057288,Curve 78,Length 300
958,0.7241812140427374,Curve 79,Length 300
960,0.7044310983801205,Curve 80,Length 300
962,0.5860151336044669,Curve 81,Length 300
964,0.5887734091413457,Curve 82,Length 300
966,0.5689125270620766,Curve 83,Length 300
968,0.7986927819798398,Curve 84,Length 300
970,0.7705639919878194,Curve 85,Length 300
972,0.705504350601192,Curve 86,Length 300
974,0.7657713109893476,Curve 87,Length 300
976,0.4850596883573401,Curve 88,Length 300
978,0.5407500005773866,Curve 89,Length 300
980,0.803100731386451,Curve 90,Length 300
982,0.5954793153339035,Curve 91,Length 300
984,0.6567102798567435,Curve 92,Length 300
986,0.7091404388394134,Curve 93,Length 300
988,0.7523536354623048,Curve 94,Length 300
990,0.779939137519842,Curve 95,Length 300
992,0.3891975036153575,Curve 96,Length 300
994,0.6701454355943557,Curve 97,Length 300
996,0.4816996270673208,Curve 98,Length 300
998,0.7262386973319993,Curve 99,Length 300
1000,0.7048076066950054,Curve 100,Length 300
1002,0.5227649281348241,Curve 101,Length 300
1004,0.5033218846230455,Curve 102,Length 300
1006,0.5947448438597407,Curve 103,Length 300
1008,0.6887818916273134,Curve 104,Length 300
1010,0.6811617706085948,Curve 105,Length 300
1012,0.6494562646747746,Curve 106,Length 300
1014,0.7684455407976262,Curve 107,Length 300
1016,0.4222683247810342,Curve 108,Length 300
1018,0.7442038876100298,Curve 109,Length 300
1020,0.3539947553251026,Curve 110,Length 300
1022,0.8005122745215854,Curve 111,Length 300
1024,0.7415945299373811,Curve 112,Length 300
1026,0.523212246026136,Curve 113,Length 300
1028,0.7077725514813844,Curve 114,Length 300
1030,0.6626912586971986,Curve 115,Length 300
1032,0.4988652200698152,Curve 116,Length 300
1034,0.5490598822550696,Curve 117,Length 300
1036,0.5614191020093674,Curve 118,Length 300
1038,0.7478471932996573,Curve 119,Length 300
1040,0.5006351283607072,Curve 120,Length 300
1042,0.6666222768039503,Curve 121,Length 300
1044,0.5966139638557515,Curve 122,Length 300
1046,0.5644893717187778,Curve 123,Length 300
1048,0.6089912221522308,Curve 124,Length 300
1050,0.7590623540363092,Curve 125,Length 300
1052,0.7103729135660323,Curve 126,Length 300
1054,0.6105706480060134,Curve 127,Length 300
1056,0.5119143807322657,Curve 128,Length 300
1058,0.5035464006878984,Curve 129,Length 300
1060,0.6298925728487734,Curve 130,Length 300
1062,0.6619813194230095,Curve 131,Length 300
1064,0.6902291661226055,Curve 132,Length 300
1066,0.5308026265095674,Curve 133,Length 300
1068,0.5151814521066219,Curve 134,Length 300
1070,0.7705608329326343,Curve 135,Length 300
1072,0.4037969776439992,Curve 136,Length 300
1074,0.6078977080098964,Curve 137,Length 300
1076,0.6020881803318776,Curve 138,Length 300
1078,0.637369766004995,Curve 139,Length 300
1080,0.3824965613492986,Curve 140,Length 300
1082,0.6674246162114488,Curve 141,Length 300
1084,0.6481046191426609,Curve 142,Length 300
1086,0.6893678321267297,Curve 143,Length 300
1088,0.654364692533287,Curve 144,Length 300
1090,0.5095394387527956,Curve 145,Length 300
1092,0.6445472990178418,Curve 146,Length 300
1094,0.6585394208887687,Curve 147,Length 300
1096,0.5443876308429856,Curve 148,Length 300
1098,0.6423343318098805,Curve 149,Length 300
