,Noise,AMI score,Name,Length
323,0.15,0.3114484325546119,Curve 64,Length 100
324,0.2,0.3341235671398675,Curve 64,Length 100
325,smooth,0.419597681504146,Curve 65,Length 100
326,0.05,0.736150447177952,Curve 65,Length 100
327,0.1,0.5544926839013866,Curve 65,Length 100
328,0.15,0.583216004877621,Curve 65,Length 100
329,0.2,0.6404342762202387,Curve 65,Length 100
330,smooth,0.7007171026762178,Curve 66,Length 100
331,0.05,0.7362952081627883,Curve 66,Length 100
332,0.1,0.7406890783777225,Curve 66,Length 100
333,0.15,0.5727580088528921,Curve 66,Length 100
334,0.2,0.5492880368014538,Curve 66,Length 100
335,smooth,0.5719277452361752,Curve 67,Length 100
336,0.05,0.7254137552981252,Curve 67,Length 100
337,0.1,0.6047272783576814,Curve 67,Length 100
338,0.15,0.6221919729045579,Curve 67,Length 100
339,0.2,0.6563978148289443,Curve 67,Length 100
340,smooth,0.3374834365071433,Curve 68,Length 100
341,0.05,0.574577522126459,Curve 68,Length 100
342,0.1,0.4566235677450959,Curve 68,Length 100
343,0.15,0.4647782686264829,Curve 68,Length 100
344,0.2,0.5607995683291734,Curve 68,Length 100
345,smooth,0.3781971015012965,Curve 69,Length 100
346,0.05,0.6833456018680274,Curve 69,Length 100
347,0.1,0.5808237168239542,Curve 69,Length 100
348,0.15,0.4710380603846456,Curve 69,Length 100
349,0.2,0.4423293000644389,Curve 69,Length 100
350,smooth,0.5940010969813204,Curve 70,Length 100
351,0.05,0.7139054231207549,Curve 70,Length 100
352,0.1,0.7314270386217062,Curve 70,Length 100
353,0.15,0.5573290933196642,Curve 70,Length 100
354,0.2,0.4891443405101259,Curve 70,Length 100
355,smooth,0.5121661586121596,Curve 71,Length 100
356,0.05,0.6851317227809298,Curve 71,Length 100
357,0.1,0.6604422010956985,Curve 71,Length 100
358,0.15,0.6511384092055563,Curve 71,Length 100
359,0.2,0.567833330659886,Curve 71,Length 100
360,smooth,0.471803117382095,Curve 72,Length 100
361,0.05,0.6239121903389708,Curve 72,Length 100
362,0.1,0.521062969775179,Curve 72,Length 100
363,0.15,0.4986027645028923,Curve 72,Length 100
364,0.2,0.4138196618152643,Curve 72,Length 100
365,smooth,0.4964141711134371,Curve 73,Length 100
366,0.05,0.7482850321035194,Curve 73,Length 100
367,0.1,0.6360822924111045,Curve 73,Length 100
368,0.15,0.5978177855910558,Curve 73,Length 100
369,0.2,0.5513977335676779,Curve 73,Length 100
370,smooth,0.4027391841226426,Curve 74,Length 100
371,0.05,0.7072087156169206,Curve 74,Length 100
372,0.1,0.5919022177626523,Curve 74,Length 100
373,0.15,0.3253294466799589,Curve 74,Length 100
374,0.2,0.3259605108034407,Curve 74,Length 100
375,smooth,0.6499562075966894,Curve 75,Length 100
376,0.05,0.9308573119984792,Curve 75,Length 100
377,0.1,0.7650805840116293,Curve 75,Length 100
378,0.15,0.7399298563158705,Curve 75,Length 100
379,0.2,0.6425272228888994,Curve 75,Length 100
380,smooth,0.4205292695703954,Curve 76,Length 100
381,0.05,0.6850324024335398,Curve 76,Length 100
382,0.1,0.6632187152937744,Curve 76,Length 100
383,0.15,0.5490141745112357,Curve 76,Length 100
384,0.2,0.469268533937782,Curve 76,Length 100
385,smooth,0.6407621189341275,Curve 77,Length 100
386,0.05,0.7299539916093798,Curve 77,Length 100
387,0.1,0.7084880809058395,Curve 77,Length 100
388,0.15,0.5967347360787083,Curve 77,Length 100
389,0.2,0.6356512193066449,Curve 77,Length 100
390,smooth,0.6755109242462698,Curve 78,Length 100
391,0.05,0.862081610293646,Curve 78,Length 100
392,0.1,0.7727491894795658,Curve 78,Length 100
393,0.15,0.6053457453398728,Curve 78,Length 100
394,0.2,0.6399498949812125,Curve 78,Length 100
395,smooth,0.425315232991,Curve 79,Length 100
396,0.05,0.5507865622365691,Curve 79,Length 100
397,0.1,0.5507358678663675,Curve 79,Length 100
398,0.15,0.3921155528627041,Curve 79,Length 100
399,0.2,0.3681212707081056,Curve 79,Length 100
400,smooth,0.3934356504950266,Curve 80,Length 100
401,0.05,0.7001958406020908,Curve 80,Length 100
402,0.1,0.674588766305565,Curve 80,Length 100
403,0.15,0.6390792232069324,Curve 80,Length 100
404,0.2,0.5370680955129054,Curve 80,Length 100
405,smooth,0.5415949763911753,Curve 81,Length 100
406,0.05,0.7582232754981217,Curve 81,Length 100
407,0.1,0.5130976568756036,Curve 81,Length 100
408,0.15,0.3902912588409032,Curve 81,Length 100
409,0.2,0.5202687045352508,Curve 81,Length 100
410,smooth,0.4069261705510231,Curve 82,Length 100
411,0.05,0.7326775840968648,Curve 82,Length 100
412,0.1,0.5551332616586168,Curve 82,Length 100
413,0.15,0.4527585065632613,Curve 82,Length 100
414,0.2,0.4644762271835129,Curve 82,Length 100
415,smooth,0.4611726265842996,Curve 83,Length 100
416,0.05,0.8446599319573381,Curve 83,Length 100
417,0.1,0.6761247049448702,Curve 83,Length 100
418,0.15,0.5764149186108765,Curve 83,Length 100
419,0.2,0.5715344752386042,Curve 83,Length 100
420,smooth,0.4042687624040706,Curve 84,Length 100
421,0.05,0.7107919692564695,Curve 84,Length 100
422,0.1,0.6550900722425277,Curve 84,Length 100
423,0.15,0.4860122951723863,Curve 84,Length 100
424,0.2,0.4759057379479633,Curve 84,Length 100
425,smooth,0.4766107781922155,Curve 85,Length 100
426,0.05,0.5206726428393987,Curve 85,Length 100
427,0.1,0.4973385097852793,Curve 85,Length 100
428,0.15,0.343696149259314,Curve 85,Length 100
429,0.2,0.4338654423702144,Curve 85,Length 100
430,smooth,0.4712056453016346,Curve 86,Length 100
431,0.05,0.7383780884755147,Curve 86,Length 100
432,0.1,0.7267162296440114,Curve 86,Length 100
433,0.15,0.503242556549275,Curve 86,Length 100
434,0.2,0.4373909167787511,Curve 86,Length 100
435,smooth,0.5108349599696005,Curve 87,Length 100
436,0.05,0.7711782981969546,Curve 87,Length 100
437,0.1,0.6417340070209473,Curve 87,Length 100
438,0.15,0.6297839540371905,Curve 87,Length 100
439,0.2,0.5016621679303028,Curve 87,Length 100
440,smooth,0.3243155943213234,Curve 88,Length 100
441,0.05,0.7196831581350491,Curve 88,Length 100
442,0.1,0.5565165739624671,Curve 88,Length 100
443,0.15,0.5866707236053564,Curve 88,Length 100
444,0.2,0.4721865091055094,Curve 88,Length 100
445,smooth,0.4379786508118262,Curve 89,Length 100
446,0.05,0.6984236783973113,Curve 89,Length 100
447,0.1,0.4495498070423769,Curve 89,Length 100
448,0.15,0.6030852952880975,Curve 89,Length 100
449,0.2,0.4010978309136023,Curve 89,Length 100
450,smooth,0.4290032237960226,Curve 90,Length 100
451,0.05,0.7417440547989226,Curve 90,Length 100
452,0.1,0.6290835166108666,Curve 90,Length 100
453,0.15,0.5520652611678256,Curve 90,Length 100
454,0.2,0.4936320421151614,Curve 90,Length 100
455,smooth,0.6019127896547662,Curve 91,Length 100
456,0.05,0.8650279095732468,Curve 91,Length 100
457,0.1,0.6501257913874319,Curve 91,Length 100
458,0.15,0.6839623739940325,Curve 91,Length 100
459,0.2,0.382517270259861,Curve 91,Length 100
460,smooth,0.3575343190119252,Curve 92,Length 100
461,0.05,0.6336823587332603,Curve 92,Length 100
462,0.1,0.5814651180192806,Curve 92,Length 100
463,0.15,0.5882828991829386,Curve 92,Length 100
464,0.2,0.548314362767268,Curve 92,Length 100
465,smooth,0.4891564420176068,Curve 93,Length 100
466,0.05,0.7912972558996374,Curve 93,Length 100
467,0.1,0.6012545846021414,Curve 93,Length 100
468,0.15,0.6589878848862748,Curve 93,Length 100
469,0.2,0.58940293552492,Curve 93,Length 100
470,smooth,0.5456847541581937,Curve 94,Length 100
471,0.05,0.6106362064471328,Curve 94,Length 100
472,0.1,0.2993646114506967,Curve 94,Length 100
473,0.15,0.401160717464848,Curve 94,Length 100
474,0.2,0.3219730396542983,Curve 94,Length 100
475,smooth,0.404215368912379,Curve 95,Length 100
476,0.05,0.5896480503328808,Curve 95,Length 100
477,0.1,0.4906162799020142,Curve 95,Length 100
478,0.15,0.4833387530336525,Curve 95,Length 100
479,0.2,0.513492849395931,Curve 95,Length 100
480,smooth,0.5191159184568592,Curve 96,Length 100
481,0.05,0.4361282029150011,Curve 96,Length 100
482,0.1,0.4226141069642897,Curve 96,Length 100
483,0.15,0.4274483780325662,Curve 96,Length 100
484,0.2,0.4155555520042575,Curve 96,Length 100
485,smooth,0.6072730831240025,Curve 97,Length 100
486,0.05,0.7971732375296413,Curve 97,Length 100
487,0.1,0.788881632062469,Curve 97,Length 100
488,0.15,0.7514687037420068,Curve 97,Length 100
489,0.2,0.6303672605274371,Curve 97,Length 100
490,smooth,0.5195267664285281,Curve 98,Length 100
491,0.05,0.6722298245500282,Curve 98,Length 100
492,0.1,0.6750104210213906,Curve 98,Length 100
493,0.15,0.5113616294666848,Curve 98,Length 100
494,0.2,0.434040318842692,Curve 98,Length 100
495,smooth,0.5993682884799423,Curve 99,Length 100
496,0.05,0.8432405748794057,Curve 99,Length 100
497,0.1,0.7136608703638131,Curve 99,Length 100
498,0.15,0.6927883621350074,Curve 99,Length 100
499,0.2,0.6048776722742538,Curve 99,Length 100
500,smooth,0.6606473663684233,Curve 100,Length 100
501,0.05,0.8247146171367412,Curve 100,Length 100
502,0.1,0.7346403176999153,Curve 100,Length 100
503,0.15,0.6803227421045637,Curve 100,Length 100
504,0.2,0.6261958382729942,Curve 100,Length 100
505,smooth,0.3823376164908909,Curve 101,Length 100
506,0.05,0.645459319710057,Curve 101,Length 100
