,Name,Correlation with ROG,Correlation with pairwise distances,Correlation between ROG and pairwise distances,Length
189,Curve 189,-0.5664681257988248,-0.584913171620096,0.884930009960308,Length 100
190,Curve 190,-0.535249779855768,-0.5185047014801147,0.9202224699341588,Length 100
191,Curve 191,-0.487320615409918,-0.4771501419787032,0.9368479374109296,Length 100
192,Curve 192,-0.4183020764378766,-0.4078313024261774,0.9398654528492448,Length 100
193,Curve 193,-0.2334983881949204,-0.4494293082777576,0.589774013082058,Length 100
194,Curve 194,-0.2617891738426949,-0.3398832452100281,0.5501899827950825,Length 100
195,Curve 195,-0.3450278140275059,-0.4058925689463301,0.7736559230109482,Length 100
196,Curve 196,-0.4539548802173176,-0.4295329961756975,0.7558948762346446,Length 100
197,Curve 197,-0.5593200965416503,-0.5652750054623469,0.8110390668930189,Length 100
198,Curve 198,-0.1890280155591512,-0.3212842336351316,0.6463735658279751,Length 100
199,Curve 199,-0.405935299499121,-0.4181997664013979,0.960451148268944,Length 100
200,Curve 0,-0.4284193406588645,-0.425803579817492,0.8805281445590382,Length 200
201,Curve 1,-0.4856001144323441,-0.4723607135554902,0.9260820243881966,Length 200
202,Curve 2,-0.5170804543186615,-0.5179284436272673,0.8093703136887738,Length 200
203,Curve 3,-0.4494573769102549,-0.4297422989746505,0.8922781672765308,Length 200
204,Curve 4,-0.401885556586495,-0.398334574819449,0.8777674938253237,Length 200
205,Curve 5,-0.2986018183497068,-0.3759685336518384,0.6555667407238968,Length 200
206,Curve 6,-0.2293422418041268,-0.3472583029983254,0.6956091305667532,Length 200
207,Curve 7,-0.4786901919387792,-0.4569931819966482,0.7450918719462597,Length 200
208,Curve 8,-0.4849642569762106,-0.4967618821283472,0.8981616178916776,Length 200
209,Curve 9,-0.3884468173059563,-0.3985291289690811,0.7131481143080457,Length 200
210,Curve 10,-0.5054045362433269,-0.4665807748666516,0.7878860820936253,Length 200
211,Curve 11,-0.3616349045078309,-0.4462209443050557,0.5656580645898753,Length 200
212,Curve 12,-0.4191642056258518,-0.4357095533959289,0.8779961589754909,Length 200
213,Curve 13,-0.4317133325133956,-0.4512670485105065,0.794673880134181,Length 200
214,Curve 14,-0.3887243757693435,-0.3920827730258983,0.9581587092045392,Length 200
215,Curve 15,-0.4813455278769982,-0.4445533828976101,0.885403183310233,Length 200
216,Curve 16,-0.3735653791574941,-0.3931515147259524,0.7908345062105651,Length 200
217,Curve 17,-0.4700531970899761,-0.460649108205392,0.8569364390614864,Length 200
218,Curve 18,-0.3760529762531452,-0.4020000941663657,0.8978240291602709,Length 200
219,Curve 19,-0.3819740341384906,-0.427747025818489,0.9515725048273036,Length 200
220,Curve 20,-0.3258232235223262,-0.3564987544059633,0.966496797717334,Length 200
221,Curve 21,-0.490352906853617,-0.4718920502673062,0.7723301851759486,Length 200
222,Curve 22,-0.4030529185662826,-0.3899089859114007,0.9352073455178672,Length 200
223,Curve 23,-0.3636622437618192,-0.3916634873508133,0.93813391423827,Length 200
224,Curve 24,-0.425588368586804,-0.4304779828260172,0.946377652059097,Length 200
225,Curve 25,-0.4258352678222142,-0.4048008659072789,0.904685398610172,Length 200
226,Curve 26,-0.4527226671196719,-0.455540529409783,0.9258105750085968,Length 200
227,Curve 27,-0.3735911100057016,-0.4143626690506599,0.8929006375398605,Length 200
228,Curve 28,-0.4662280091036584,-0.494581538554378,0.9683220949975576,Length 200
229,Curve 29,-0.4789311933753626,-0.484017045925645,0.8630400043817358,Length 200
230,Curve 30,-0.4370666222444791,-0.4534142259468901,0.8949758225615566,Length 200
231,Curve 31,-0.4988523525752831,-0.5116606039715879,0.8794639220939655,Length 200
232,Curve 32,-0.4690150476951907,-0.4952267770769857,0.7702211632312822,Length 200
233,Curve 33,-0.432390828102124,-0.468186232311483,0.8985013881936209,Length 200
234,Curve 34,-0.3566331271970819,-0.3419284552664874,0.9453815675842993,Length 200
235,Curve 35,-0.2246605156532127,-0.4587944352830696,0.428933746720681,Length 200
236,Curve 36,-0.2767893565051659,-0.4492875042920496,0.4808075404244589,Length 200
