individual,time,x,y,cov,trv,rel,lbl
6,1988.106713,1.70701423,-20.58825655,2.77699565,0.55430407,2.98386381,3
6,1991.139887,2.20717991,-20.22004329,2.67241096,0.55819626,3.03110318,3
6,1994.140059,2.79868246,-20.07770487,2.55520073,0.55850693,3.08049777,3
6,1997.172232,3.42059891,-20.2156218,2.38985582,0.55639855,3.12723893,3
6,2000.172403,4.04460472,-20.1691341,2.45144134,0.55604782,3.17446596,3
6,2003.172575,4.52446046,-20.58137098,2.33992418,0.55650892,3.22089354,3
6,2006.205749,4.82468631,-21.03468123,2.248897,0.5569331,3.26488027,3
6,2009.20692,4.66790492,-21.64050931,2.06212682,0.5571594,3.30076888,3
6,2012.210092,4.4818031,-22.20489698,2.04449253,0.5569734,3.32946424,3
6,2015.213264,4.07629602,-22.64332846,2.11144109,0.5579779,3.351239,3
6,2018.237437,3.50994813,-22.79319463,2.22845296,0.55821853,3.36504435,3
6,2021.239608,3.0655915,-22.51932644,2.26121678,0.55916263,3.37211559,3
6,2024.254781,2.85377436,-22.07254977,2.25045507,0.55863093,3.37604296,3
6,2027.269953,2.85580225,-21.55348216,2.26198256,0.55770139,3.38381121,3
6,2030.270125,3.22314396,-21.15727103,2.21906588,0.55731461,3.39749125,3
6,2033.270297,3.69296719,-20.93769549,2.2079536,0.5579723,3.41569406,3
6,2036.30347,4.27913081,-20.98311717,2.1976789,0.55740007,3.43926946,3
6,2039.303641,4.66451707,-21.28688463,2.15885385,0.55840896,3.46287954,3
6,2042.305813,5.1612157,-21.57145208,2.23880746,0.55820693,3.48946209,3
6,2045.308985,5.72804215,-21.68549863,2.46657062,0.55711543,3.52338519,3
6,2048.336158,6.27922601,-21.88478917,2.74898876,0.5559021,3.56490736,3
6,2051.368331,6.64953829,-22.25613683,2.96533485,0.55547444,3.61064115,3
6,2054.368503,6.92251449,-22.61887894,3.17342449,0.55485769,3.65811892,3
6,2057.401677,7.25604317,-23.11072791,3.49287222,0.55498754,3.70885262,3
6,2060.401848,7.48918395,-23.60706061,3.79515586,0.5565255,3.75819005,3
6,2063.434022,7.51348379,-24.18185507,4.01454409,0.55732967,3.80273583,3
6,2066.434193,7.24506855,-24.59907394,4.00727502,0.55773222,3.84147653,3
