id,x,y,z
17,-10.5433962,-0.75465261,4.5430935
17,-10.45475341,-0.96248831,4.55501362
17,-10.88115185,-0.75089649,4.34007927
17,-10.32444934,-0.94148229,4.63303869
17,-10.18743302,-1.5607615,4.54071312
17,-9.94527367,-1.64984477,4.64229417
17,-9.84956894,-1.56411335,4.7222926
17,-9.55171227,-1.70005815,4.82711099
17,-9.4388188,-1.84094519,4.83095185
18,-4.78671004,-4.89942099,4.38947898
18,-4.59081871,-4.69592646,4.6561111
18,-4.93583376,-3.99830805,5.18873
18,-4.96056217,-3.84787079,5.29547884
18,-4.74895484,-4.21481271,5.05936861
18,-4.89024771,-4.4003107,4.8640143
18,-5.02026901,-4.26513889,4.95053684
18,-5.15151516,-4.13129369,5.02970032
18,-5.33675431,-3.84618333,5.20448241
18,-5.98933265,-3.57407642,5.2209148
18,-5.56128616,-3.75223394,5.21428466
18,-5.03613513,-3.94405963,5.20612422
18,-4.52609849,-4.06019592,5.23387211
18,-4.87326563,-4.16158892,5.07385437
18,-4.80983154,-4.50080369,4.79157034
18,-4.61731534,-4.61730994,4.72763669
18,-4.88775603,-4.54127395,4.73331714
18,-5.09741439,-4.20389029,4.98311128
18,-4.88028785,-4.09890503,5.1229557
18,-4.6693371,-3.98557477,5.25970688
19,8.36431018,3.52910549,-4.36520254
19,8.5286316,3.83211662,-4.0162785
19,8.11666084,4.3158255,-3.72875374
19,7.9955459,4.46049305,-3.62240433
19,8.08368493,4.36336626,-3.69114405
19,8.23173131,4.21600895,-3.77953944
19,8.12501951,4.10958545,-3.95061033
19,8.22385623,4.08843916,-3.92131513
19,8.09940447,3.88170651,-4.18715492
19,7.55760087,4.07076187,-4.26023063
19,7.20163817,3.94125557,-4.52775954
19,7.46853186,4.05871325,-4.31069655
19,7.08514241,4.04338815,-4.48343635
19,7.31833397,4.22860946,-4.21062454
19,7.42048902,4.08206816,-4.30938571
19,7.74366,3.57783264,-4.60521943
19,7.8819191,3.74922728,-4.40592018
19,8.03546355,3.67193964,-4.40166908
19,8.21099588,3.47683065,-4.47845233
19,8.12618016,3.39459357,-4.57908654
20,5.00132833,-5.36219412,3.74079577
20,4.35623993,-5.27392641,4.05481118
20,4.19690593,-5.39773233,3.93204538
20,4.01275137,-5.31085791,4.09502685
20,4.11626099,-5.46156669,3.86463299
20,3.98203485,-5.53858246,3.78945299
20,3.96587794,-5.72890556,3.49965628
20,3.97468543,-5.79927256,3.37918729
20,3.85674207,-5.81462942,3.38695584
20,3.38566258,-5.69878772,3.69569218
20,3.24834394,-5.47704826,4.04524508
20,3.648285,-5.58639739,3.80324446
20,4.10391473,-5.54991243,3.74004586
20,4.29507868,-5.57102185,3.65401017
20,3.96026303,-5.71012299,3.53179481
20,3.72165115,-5.65328653,3.68479031
20,3.9733502,-5.54879291,3.77677366
20,3.29030842,-5.62573887,3.82681718
20,3.4716306,-5.37487152,4.13493668
20,3.49540013,-5.53753911,3.9091182
21,11.44304885,3.26141971,2.37219301
21,11.5824921,3.21635991,2.26196776
21,11.78229723,3.04410849,2.24226927
21,11.92621992,2.95583586,2.16895227
21,12.08680175,2.97788855,1.89986464
21,12.3398208,2.83946002,1.69401077
21,12.23282626,2.78246757,1.96147003
21,11.89420792,2.99441601,2.15996
21,11.90147559,3.17849952,1.86704593
21,11.8642826,3.42234787,1.44818321
21,11.64221697,3.58091488,1.51385093
21,11.78632406,3.49573035,1.43196041
21,12.04618327,3.2532527,1.46243427
