Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
50	0.0398103446	0.9966442953	0.9998996819	0.9861539359	2022-08-21T00:24:51.786
60	0.0207032561	0.9994407159	1.0000000000	[1m0.9862398674[0m	2022-08-21T00:26:42.363
70	0.0110362759	1.0000000000	1.0000000000	0.9860085041	2022-08-21T00:28:33.197
80	0.0053726202	1.0000000000	1.0000000000	0.9858691140	2022-08-21T00:30:24.138
90	0.0040472397	1.0000000000	1.0000000000	0.9857012197	2022-08-21T00:32:15.215
100	0.0016826945	1.0000000000	1.0000000000	0.9859219221	2022-08-21T00:34:06.198
110	0.0008553994	1.0000000000	1.0000000000	0.9858737249	2022-08-21T00:35:56.841
120	0.0005754465	1.0000000000	1.0000000000	0.9857490636	2022-08-21T00:37:47.706
130	0.0003337542	1.0000000000	1.0000000000	0.9858536413	2022-08-21T00:39:38.736
140	0.0001856017	1.0000000000	1.0000000000	0.9856796030	2022-08-21T00:41:29.724
150	0.0001177814	1.0000000000	1.0000000000	0.9856169782	2022-08-21T00:43:20.561
160	0.0000801736	1.0000000000	1.0000000000	0.9854644829	2022-08-21T00:45:11.232
eval AUC = 0.984594997148906
eval Acc = 0.9155405405405406
# test=3, eval=1
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0905528069	0.3413677130	0.7487284817	0.7460868299	2022-08-21T00:47:04.866
10	0.2323317528	0.9114349776	0.9861516513	[1m0.9733769775[0m	2022-08-21T00:48:55.666
20	0.1686430573	0.9321748879	0.9926847261	[1m0.9778675869[0m	2022-08-21T00:50:46.783
30	0.0945836902	0.9686098655	0.9976130905	[1m0.9791469710[0m	2022-08-21T00:52:37.737
40	0.0843887925	0.9714125561	0.9990532625	0.9767780918	2022-08-21T00:54:28.705
50	0.0349151790	0.9943946188	0.9999586568	[1m0.9796948340[0m	2022-08-21T00:56:19.528
60	0.0172272138	0.9988789238	0.9999995342	[1m0.9803743859[0m	2022-08-21T00:58:10.467
70	0.0118401684	1.0000000000	1.0000000000	0.9801083059	2022-08-21T01:00:01.329
80	0.0046882243	1.0000000000	1.0000000000	0.9797879099	2022-08-21T01:01:52.564
90	0.0029087714	1.0000000000	1.0000000000	0.9800099052	2022-08-21T01:03:44.192
100	0.0015226732	1.0000000000	1.0000000000	0.9800564361	2022-08-21T01:05:35.668
110	0.0008423640	1.0000000000	1.0000000000	0.9798599020	2022-08-21T01:07:27.329
120	0.0006476182	1.0000000000	1.0000000000	0.9800255549	2022-08-21T01:09:18.829
130	0.0003120909	1.0000000000	1.0000000000	0.9796058408	2022-08-21T01:11:10.373
140	0.0001697937	1.0000000000	1.0000000000	0.9794149565	2022-08-21T01:13:01.961
150	0.0001360246	1.0000000000	1.0000000000	0.9787840742	2022-08-21T01:14:53.535
160	0.0000591611	1.0000000000	1.0000000000	0.9791938706	2022-08-21T01:16:45.533
eval AUC = 0.9757520318461145
eval Acc = 0.9043624161073825
# test=3, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0954092741	0.3419282511	0.6048707536	0.6231369057	2022-08-21T01:18:40.619
10	0.2580028474	0.8996636771	0.9835583386	[1m0.9720131165[0m	2022-08-21T01:20:32.500
20	0.1706721783	0.9445067265	0.9912817803	[1m0.9778937369[0m	2022-08-21T01:22:24.502
