,Size,Life Span,ROG,Type,Name,Label
10,5,0.35,0.45237275991817094,unbiased,unbiased_319,True
1,10,0.75,1.5134005665567278,unbiased,unbiased_82,True
2,8,0.75,0.42751065130694815,unbiased,unbiased_82,True
2,6,0.9,0.7379425110114792,zebrafish,zebrafish_40,True
8,5,0.3,0.669404031965458,zebrafish,zebrafish_148,True
4,6,0.3,0.5093751748174442,zebrafish,zebrafish_109,True
7,4,0.15,0.828724724633559,zebrafish,zebrafish_56,True
15,4,0.15,0.6480852656340247,zebrafish,zebrafish_125,True
8,6,0.25,0.8013123952326914,zebrafish,zebrafish_95,True
5,6,0.3,0.8385419729113447,zebrafish,zebrafish_133,True
9,5,0.2,0.9395122487301087,zebrafish,zebrafish_133,True
10,9,0.45,1.1771089775799513,zebrafish,zebrafish_83,True
6,4,0.15,1.4320691413939908,zebrafish,zebrafish_113,True
8,4,0.25,0.4569382574241358,zebrafish,zebrafish_144,True
6,7,0.55,0.9508343986055964,zebrafish,zebrafish_152,True
13,7,0.3,0.8842339496195681,zebrafish,zebrafish_21,True
0,8,0.95,1.2267757685537817,zebrafish,zebrafish_9,True
0,7,0.65,0.8846328848132616,zebrafish,zebrafish_76,True
7,6,0.5,0.9236442077851649,zebrafish,zebrafish_76,True
7,5,0.2,0.4904160728372286,zebrafish,zebrafish_99,True
14,5,0.3,0.8234810660379661,zebrafish,zebrafish_37,True
5,12,0.65,1.4780804266678806,zebrafish,zebrafish_36,True
2,9,0.45,0.9491766349670132,zebrafish,zebrafish_61,True
6,5,0.3,1.0259468952925417,zebrafish,zebrafish_61,True
4,4,0.21052631578947367,0.31836890052715205,zebrafish,zebrafish_128,True
16,4,0.3,0.5179006078919847,zebrafish,zebrafish_77,True
0,5,0.2,0.7441239559182032,zebrafish,zebrafish_98,True
6,8,0.35,1.1999754199778343,zebrafish,zebrafish_98,True
4,5,0.25,0.7302579123080493,zebrafish,zebrafish_8,True
8,6,0.4,0.5510056403125766,zebrafish,zebrafish_8,True
0,6,0.4,0.6464145613976932,zebrafish,zebrafish_20,True
2,7,0.75,1.1573784680786348,zebrafish,zebrafish_20,True
11,7,0.35,0.8361348791133582,zebrafish,zebrafish_153,True
2,7,0.35,0.9035000881549157,zebrafish,zebrafish_112,True
7,6,0.3,0.6990756780472377,zebrafish,zebrafish_112,True
4,5,0.25,0.6981781651707398,zebrafish,zebrafish_82,True
5,4,0.2,0.46059228191358215,zebrafish,zebrafish_124,True
1,6,0.85,0.438657252435364,zebrafish,zebrafish_94,True
4,4,0.7,0.513793065487949,zebrafish,zebrafish_94,True
2,4,0.15,0.6407464221510579,zebrafish,zebrafish_4,True
2,7,0.9,0.6027535784902196,zebrafish,zebrafish_149,True
4,15,0.85,1.6178530554178059,zebrafish,zebrafish_16,True
7,5,0.2,0.27694355564301837,zebrafish,zebrafish_41,True
2,4,0.15,0.48674209107804656,zebrafish,zebrafish_115,True
6,8,0.4,0.9944205244070364,zebrafish,zebrafish_115,True
1,6,0.5,1.211594036912294,zebrafish,zebrafish_142,True
9,5,0.35,0.6029050805453215,zebrafish,zebrafish_142,True
7,7,0.3,1.1762203388717845,zebrafish,zebrafish_154,True
16,4,0.15,0.41202138587852394,zebrafish,zebrafish_103,True
3,17,0.9,2.171277955223377,zebrafish,zebrafish_27,True
7,3,0.1,0.166743443310467,zebrafish,zebrafish_70,True
8,5,0.35,1.3169485986813192,zebrafish,zebrafish_70,True
9,5,0.4,0.588667503560275,zebrafish,zebrafish_70,True
3,5,0.3,0.6271046440404265,zebrafish,zebrafish_139,True
9,7,0.55,1.1579120136704186,zebrafish,zebrafish_139,True
0,11,0.75,1.1405999715769675,zebrafish,zebrafish_66,True
6,3,0.2,0.46558483379057247,zebrafish,zebrafish_66,True
6,6,0.55,0.86834281825665,zebrafish,zebrafish_89,True
9,4,0.35,0.5269153748489284,zebrafish,zebrafish_89,True
12,7,0.4,1.110127310924959,zebrafish,zebrafish_119,True
9,6,0.85,0.4518316062968763,zebrafish,zebrafish_46,True
10,4,0.45,0.4085469298099736,zebrafish,zebrafish_46,True
12,8,0.5,1.015558759761034,zebrafish,zebrafish_11,True
13,4,0.2,0.5262648099020284,zebrafish,zebrafish_158,True
0,5,0.9,0.6769191151352518,zebrafish,zebrafish_3,True
1,3,0.15,0.5654016546913739,zebrafish,zebrafish_3,True
